arquivo_removido,split_origem,duplicata_de,split_duplicata
CAM1_RGB_2024-08-18_11-01-59_jpg.rf.70671648f480083b5230034869610593.jpg,train,CAM1_RGB_2024-08-18_11-04-00_jpg.rf.bd97e4701cd37bf673822884fb7e3a00.jpg,test
CAM1_RGB_2024-08-18_11-02-57_jpg.rf.58c7886289fb981ca41ca0c745dcc890.jpg,train,CAM1_RGB_2024-08-18_11-04-00_jpg.rf.bd97e4701cd37bf673822884fb7e3a00.jpg,test
CAM3_RGB_2024-08-16_18-53-00_jpg.rf.05650028679d41ab3c95fd5f543b2cc1.jpg,train,CAM3_RGB_2024-08-16_18-54-00_jpg.rf.63a6ff35938cc312125f515c23496725.jpg,test
CAM3_RGB_2024-08-16_18-55-00_jpg.rf.bb73fe9a4627c0393bc889f1a3200f6e.jpg,train,CAM3_RGB_2024-08-16_18-54-00_jpg.rf.63a6ff35938cc312125f515c23496725.jpg,test
CAM3_RGB_2024-08-22_16-09-00_jpg.rf.4afc68e8bf31fed5ceeb6bca11567ca2.jpg,train,CAM3_RGB_2024-08-22_16-10-00_jpg.rf.beaf0e3f14e3c7617905ba857d93962b.jpg,test
CAM3_RGB_2024-08-22_16-11-00_jpg.rf.9f84d780862c74d71fe597dfe60d2c69.jpg,train,CAM3_RGB_2024-08-22_16-10-00_jpg.rf.beaf0e3f14e3c7617905ba857d93962b.jpg,test
CAM3_RGB_2024-08-22_16-12-00_jpg.rf.87ff67b3536c3e225c302c0cfa696797.jpg,train,CAM3_RGB_2024-08-22_16-10-00_jpg.rf.beaf0e3f14e3c7617905ba857d93962b.jpg,test
CAM3_RGB_2024-08-22_16-13-00_jpg.rf.0a9b04721586a79ebf7f9b6f40388291.jpg,train,CAM3_RGB_2024-08-22_16-10-00_jpg.rf.beaf0e3f14e3c7617905ba857d93962b.jpg,test
CAM1_RGB_2024-08-18_11-04-57_jpg.rf.3bad25f764d0b6eee01c41bddee9af4e.jpg,train,CAM1_RGB_2024-08-18_11-07-00_jpg.rf.4a6b4b954740c691c2afab382e50fa04.jpg,valid
CAM2_RGB_2024-08-15_13-12-00_jpg.rf.5ae4e275d3d378c7db5c5ad40a2b8b6c.jpg,train,CAM2_RGB_2024-08-15_12-42-00_jpg.rf.211a1856c4814f881c2e7a804f21798a.jpg,valid
CAM2_RGB_2024-08-17_19-55-00_jpg.rf.16478a6bea8f7151e17de3dcef32ad54.jpg,train,CAM2_RGB_2024-08-17_19-25-00_jpg.rf.05605d763031a20ec9ed766aa0a6518e.jpg,valid
CAM2_RGB_2024-08-20_18-27-00_jpg.rf.254def2328071d30b2e62e1c41559510.jpg,train,CAM2_RGB_2024-08-20_18-26-00_jpg.rf.ca104fa2e180074191e0ce45a7a5208e.jpg,valid
CAM3_RGB_2024-08-16_18-50-00_jpg.rf.3761f5407da396be165fd727de51e2fc.jpg,train,CAM3_RGB_2024-08-16_18-49-00_jpg.rf.58fa2c50ecd66c30214370ff75cfa049.jpg,valid
CAM3_RGB_2024-08-23_04-12-59_jpg.rf.48beb75f14821f8f8c56b36e740a471d.jpg,valid,CAM3_RGB_2024-08-23_04-12-00_jpg.rf.8774492873edf76f81b74c56086bc4fc.jpg,test
CAM3_RGB_2024-08-23_04-37-00_jpg.rf.fb574b4f570a28786f8bfcf66fde5bef.jpg,train,CAM3_RGB_2024-08-23_04-40-00_jpg.rf.7b1f0e899469967eaf86e3c2ef4add5f.jpg,valid
CAM3_RGB_2024-08-23_10-41-00_jpg.rf.72dd06f560553dd2536ecfff9329bd7e.jpg,valid,CAM3_RGB_2024-08-23_11-11-00_jpg.rf.edf4adef047f75d641e2f363c32210e6.jpg,test
CAM3_RGB_2024-08-29_12-13-00_jpg.rf.0621393804942b58b1d116b5d08d6019.jpg,train,CAM3_RGB_2024-08-29_12-12-00_jpg.rf.3cd9dcb7a6eb49c06e0161bfa58c300d.jpg,valid
