arquivo,split_origem,motivos
CAM1_RGB_2024-08-24_05-26-40_jpg.rf.c46a2e073ab0b96e39537dc0368245f6.jpg,test,borrada;subexposta
CAM2_RGB_2024-08-24_04-09-00_jpg.rf.56d15613489a64665681f7f69b4d69fc.jpg,test,borrada;subexposta;baixo_contraste
CAM2_RGB_2024-08-24_05-38-54_jpg.rf.2886749f81d8be7c98e80a878f8d41e9.jpg,test,borrada;subexposta
CAM1_RGB_2024-08-16_11-38-00_jpg.rf.a2912df938bf7c81b046c83a864b671e.jpg,train,duplicata
CAM1_RGB_2024-08-17_08-13-59_jpg.rf.94e3d23ae6904dc7a73018a8294333b5.jpg,train,duplicata
CAM1_RGB_2024-08-17_08-22-00_jpg.rf.fd7638b12650edcdc24a1507a13be791.jpg,train,duplicata
CAM1_RGB_2024-08-18_11-06-00_jpg.rf.5fc2652986f04ff2beece1bd155fcd3b.jpg,train,duplicata
CAM1_RGB_2024-08-23_23-24-40_jpg.rf.4ff574281e25cbeea5e0bdc898967481.jpg,train,borrada;subexposta
CAM1_RGB_2024-08-23_23-54-56_jpg.rf.c5b528fe01f5f110dc4e3e700645d61c.jpg,train,borrada;subexposta
CAM1_RGB_2024-08-24_00-25-59_jpg.rf.a764fed07bf5985a707281191b442efe.jpg,train,borrada;subexposta
CAM1_RGB_2024-08-24_00-55-59_jpg.rf.002381b6d8fbcacfe7f2e4a205231c22.jpg,train,borrada
CAM1_RGB_2024-08-24_01-25-47_jpg.rf.027a09171dd53193b1afe4a46c149603.jpg,train,borrada
CAM1_RGB_2024-08-24_01-55-57_jpg.rf.da6c90615c385c474e1a36a13006fbe8.jpg,train,borrada
CAM1_RGB_2024-08-24_02-25-58_jpg.rf.4c39d5d990ebfb4f40c4316f8fa4e5e1.jpg,train,borrada
CAM1_RGB_2024-08-24_03-25-55_jpg.rf.265d6064ba311002e69a1f477a99343e.jpg,train,borrada;subexposta
CAM1_RGB_2024-08-24_04-25-47_jpg.rf.c9a8a43114821c9f855d843a1634f253.jpg,train,borrada;subexposta
CAM1_RGB_2024-08-24_04-55-55_jpg.rf.cce92f5f8a4e2b031155e83e2061028c.jpg,train,borrada
CAM2_RGB_2024-08-17_03-55-00_jpg.rf.01d6a2bb3c7cff802ac5a74cf2905b52.jpg,train,duplicata
CAM2_RGB_2024-08-17_05-25-00_jpg.rf.f16c6f992c5942f78e9edf048c3203ec.jpg,train,duplicata
CAM2_RGB_2024-08-21_04-32-00_jpg.rf.77de5cc5f8e08aaad2e95e308a6c53cf.jpg,train,borrada
CAM2_RGB_2024-08-23_23-09-00_jpg.rf.0ccda31fd68a016798dbf9ac3995a732.jpg,train,borrada;subexposta
CAM2_RGB_2024-08-23_23-39-00_jpg.rf.0c07b59db1b0adc9050454e249f422dc.jpg,train,borrada;subexposta
CAM2_RGB_2024-08-24_00-09-00_jpg.rf.9085aab6b0d409fd83f09e1990a21d74.jpg,train,borrada;subexposta
CAM2_RGB_2024-08-24_00-39-00_jpg.rf.458646690f07ccb3a5f5db301a43e655.jpg,train,borrada;subexposta;duplicata
CAM2_RGB_2024-08-24_01-09-00_jpg.rf.442046722e551c9fe88e6e8fb9316f18.jpg,train,borrada;subexposta;duplicata
CAM2_RGB_2024-08-24_01-39-00_jpg.rf.c6c6a611c64a540d3e187d018869a4d7.jpg,train,borrada;subexposta
CAM2_RGB_2024-08-24_02-09-00_jpg.rf.8d29d4eeced741934d85a2b488715741.jpg,train,borrada;subexposta
CAM2_RGB_2024-08-24_02-39-00_jpg.rf.de909507b6e524b66b3623d9f0273ae4.jpg,train,borrada;subexposta;duplicata
CAM2_RGB_2024-08-24_03-09-00_jpg.rf.43f1705355fed47d8f7d58f330d98f86.jpg,train,borrada;subexposta
CAM2_RGB_2024-08-24_04-38-58_jpg.rf.545125852bea75e9b91fc235476b4f60.jpg,train,borrada;subexposta
