arquivo,veredito,motivos,nitidez,brilho,contraste,largura,altura,duplicata_de,caminho
CAM1_RGB_2024-08-15_10-47-00_jpg.rf.ad98853f09bd5c4d44b8521b9ee3e05e.jpg,aproveitavel,-,777.27,92.08,67.09,640,360,,C:\projetopig\dataset\sows_farm\sows_farm_02.v2i.yolo26\test\images\CAM1_RGB_2024-08-15_10-47-00_jpg.rf.ad98853f09bd5c4d44b8521b9ee3e05e.jpg
CAM1_RGB_2024-08-16_13-32-00_jpg.rf.9ab34caa03e4f9d4419f83c54c637132.jpg,aproveitavel,-,467.17,86.25,62.58,640,360,,C:\projetopig\dataset\sows_farm\sows_farm_02.v2i.yolo26\test\images\CAM1_RGB_2024-08-16_13-32-00_jpg.rf.9ab34caa03e4f9d4419f83c54c637132.jpg
CAM1_RGB_2024-08-16_17-14-00_jpg.rf.a2da51e57fc83d5a6e67198fa96a482f.jpg,aproveitavel,-,692.11,87.25,61.92,640,360,,C:\projetopig\dataset\sows_farm\sows_farm_02.v2i.yolo26\test\images\CAM1_RGB_2024-08-16_17-14-00_jpg.rf.a2da51e57fc83d5a6e67198fa96a482f.jpg
CAM1_RGB_2024-08-17_00-03-00_jpg.rf.fba4ee76131c1f5f58d504259113c4a7.jpg,aproveitavel,-,912.47,73.27,62.36,640,360,,C:\projetopig\dataset\sows_farm\sows_farm_02.v2i.yolo26\test\images\CAM1_RGB_2024-08-17_00-03-00_jpg.rf.fba4ee76131c1f5f58d504259113c4a7.jpg
CAM1_RGB_2024-08-17_05-26-00_jpg.rf.f200b5ded33d8c36184021c0452d5d66.jpg,aproveitavel,-,963.11,75.0,57.88,640,360,,C:\projetopig\dataset\sows_farm\sows_farm_02.v2i.yolo26\test\images\CAM1_RGB_2024-08-17_05-26-00_jpg.rf.f200b5ded33d8c36184021c0452d5d66.jpg
CAM1_RGB_2024-08-17_11-03-00_jpg.rf.6e600d08aaafc4d822724bb8a94b26bc.jpg,aproveitavel,-,685.76,100.17,55.57,640,360,,C:\projetopig\dataset\sows_farm\sows_farm_02.v2i.yolo26\test\images\CAM1_RGB_2024-08-17_11-03-00_jpg.rf.6e600d08aaafc4d822724bb8a94b26bc.jpg
CAM1_RGB_2024-08-17_11-21-00_jpg.rf.8ccab05743edad8d5013c272b8fee7d6.jpg,aproveitavel,-,480.14,96.16,68.62,640,360,,C:\projetopig\dataset\sows_farm\sows_farm_02.v2i.yolo26\test\images\CAM1_RGB_2024-08-17_11-21-00_jpg.rf.8ccab05743edad8d5013c272b8fee7d6.jpg
CAM1_RGB_2024-08-17_11-33-00_jpg.rf.ac6f61a7ab5100f7b206ddc1a0b763b6.jpg,aproveitavel,-,529.01,90.29,62.72,640,360,,C:\projetopig\dataset\sows_farm\sows_farm_02.v2i.yolo26\test\images\CAM1_RGB_2024-08-17_11-33-00_jpg.rf.ac6f61a7ab5100f7b206ddc1a0b763b6.jpg
CAM1_RGB_2024-08-17_12-26-00_jpg.rf.a7b120c5374375de2a3690bcbe4fe885.jpg,aproveitavel,-,580.69,91.77,59.4,640,360,,C:\projetopig\dataset\sows_farm\sows_farm_02.v2i.yolo26\test\images\CAM1_RGB_2024-08-17_12-26-00_jpg.rf.a7b120c5374375de2a3690bcbe4fe885.jpg
CAM1_RGB_2024-08-17_12-33-00_jpg.rf.9a526b9d089d8dc219a5fcc2f0fd634c.jpg,aproveitavel,-,614.03,93.68,57.92,640,360,,C:\projetopig\dataset\sows_farm\sows_farm_02.v2i.yolo26\test\images\CAM1_RGB_2024-08-17_12-33-00_jpg.rf.9a526b9d089d8dc219a5fcc2f0fd634c.jpg
